------------------------------------------------------------------------------
Spectrum  |                  Observed  |      Rel. |     Aki     | Acc. |Type|
          |                 Wavelength |      Int. |   (s^-1)    |      |    |
          |          Vac (µm)          |      (?)  |             |      |    |
------------------------------------------------------------------------------
Ar II     |              0.2623090     |         1 |             |      |    |
Th I      |              0.26231000    |       140 |             |      |    |
Ar II     |              0.26245945    |         7 |             |      |    |
Th I      |              0.26246470    |       140 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.2625711     |         1 |             |      |    |
Th I      |              0.26271280    |         6 |             |      |    |
Ar II     |              0.26273984    |         7 |             |      |    |
Th I      |              0.26328540    |        27 |             |      |    |
Th I      |              0.26339140    |         2 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.2634001     |       2qs |             |      |    |
Ar II     |              0.2636354     |         2 |             |      |    |
Ar II     |              0.26369135    |         6 |             |      |    |
Th I      |              0.26408650    |        13 |             |      |    |
Ar II     |              0.26472456    |        29 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.2647844     |         1 |             |      |    |
Ar II     |              0.26496012    |         7 |             |      |    |
Ar II     |              0.26519095    |         9 |             |      |    |
Ar II     |              0.2652899     |         1 |             |      |    |
Ar II     |              0.265321      |         0 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.2654056     |         2 |             |      |    |
Th I      |              0.26547620    |         5 |             |      |    |
Ar II     |              0.2656303     |         2 |             |      |    |
Th I      |              0.26576330    |         4 |             |      |    |
Ar II     |              0.265789      |         0 |             |      |    |
          |                            |           |             |      |    |
Th I      |              0.26649961    |        11 |             |      |    |
Ar II     |              0.267022      |       0.5 |             |      |    |
Ar II     |              0.26741744    |         5 |             |      |    |
Th I      |              0.26776660    |        13 |             |      |    |
Ar II     |              0.26831001    |         6 |             |      |    |
          |                            |           |             |      |    |
Th I      |              0.26854260    |         4 |             |      |    |
Ar II     |              0.2686322     |         2 |             |      |    |
Ar II     |              0.268694      |         1 |             |      |    |
Ar II     |              0.2687395     |         1 |             |      |    |
Ar II     |              0.2689093     |         2 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.2690033     |         2 |             |      |    |
Th I      |              0.26903191    |        13 |             |      |    |
Th I      |              0.26910570    |       280 |             |      |    |
Ar II     |              0.269215      |       0.5 |             |      |    |
Th I      |              0.26934250    |        69 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.2697374     |         1 |             |      |    |
Th I      |              0.26991531    |         2 |             |      |    |
Ar II     |              0.2701719     |         2 |             |      |    |
Ar II     |              0.27080571    |         6 |             |      |    |
Ar II     |              0.27082675    |        93 |             |      |    |
          |                            |           |             |      |    |
Th I      |              0.27112880    |         6 |             |      |    |
Th I      |              0.27126200    |         2 |             |      |    |
Th I      |              0.27138430    |       100 |             |      |    |
Th I      |              0.27193330    |        20 |             |      |    |
Ar II     |              0.2720184     |         2 |             |      |    |
          |                            |           |             |      |    |
Th I      |              0.27208570    |        69 |             |      |    |
Ar II     |              0.2721580     |       0.5 |             |      |    |
Th I      |              0.27245220    |        34 |             |      |    |
Th I      |              0.27263170    |       280 |             |      |    |
Ar II     |              0.273050      |       0.5 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.273067      |       0.5 |             |      |    |
Ar II     |              0.2731639     |         1 |             |      |    |
Ar II     |              0.27323372    |        45 |             |      |    |
Ar II     |              0.27325024    |        41 |             |      |    |
Ar II     |              0.27330198    |        12 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.2733809     |        1* |             |      |    |
Ar II     |              0.2733809     |        1* |             |      |    |
Th I      |              0.27339000    |        69 |             |      |    |
Th I      |              0.27346611    |        55 |             |      |    |
Th I      |              0.273975425   |       110 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.2740333     |         1 |             |      |    |
Th II     |              0.274047225   |       210 |             |      |    |
Ar II     |              0.2740912     |         1 |             |      |    |
Ar II     |              0.27410679    |        11 |             |      |    |
Ar II     |              0.2741962     |         1 |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.274306356   |      1000 |             |      |    |
Th I      |              0.27432740    |         4 |             |      |    |
Th I      |              0.27443760    |        27 |             |      |    |
Ar II     |              0.27447931    |        81 |             |      |    |
Th I      |              0.274648208   |       180 |             |      |    |
          |                            |           |             |      |    |
Th I      |              0.27467861    |       140 |             |      |    |
Th I      |              0.274840841   |       200 |             |      |    |
Th II     |              0.274880507   |       440 |             |      |    |
Th I      |              0.27493510    |        69 |             |      |    |
Th II     |              0.274953079   |       750 |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.274971375   |       620 |             |      |    |
Th II     |              0.275008049   |       280 |             |      |    |
Th II     |              0.275157312   |       270 |             |      |    |
Th II     |              0.275175349   |       120 |             |      |    |
Th II     |              0.275216655   |      2800 |             |      |    |
          |                            |           |             |      |    |
Th I      |              0.27541790    |        11 |             |      |    |
Ar II     |              0.2754864     |         2 | 2.e+05      | C+   |    |
Th I      |              0.27553360    |       100 |             |      |    |
Th II     |              0.275595550   |       430 |             |      |    |
Th I      |              0.27569120    |         4 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.2757304     |         3 |             |      |    |
Th I      |              0.27592720    |        11 |             |      |    |
Th II     |              0.275940805   |       590 |             |      |    |
Th II     |              0.275972047   |       130 |             |      |    |
Th II     |              0.276039000   |       980 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.276133      |       0.5 |             |      |    |
Th I      |              0.276245866   |       210 |             |      |    |
Ar II     |              0.2763520     |         1 |             |      |    |
Th II     |              0.276360538   |       640 |             |      |    |
Th I      |              0.276365771   |        92 |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.276463644   |       720 |             |      |    |
Ar II     |              0.27646461    |        30 |             |      |    |
Th II     |              0.276512338   |       640 |             |      |    |
Th II     |              0.276588066   |       130 |             |      |    |
Th I      |              0.27669881    |        70 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.2767945     |         2 |             |      |    |
Th II     |              0.276884151   |      2300 |             |      |    |
Ar II     |              0.276904      |         0 |             |      |    |
Ar II     |              0.27697388    |        41 |             |      |    |
Ar II     |              0.276991      |  0.5bl,G? |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.277013017   |       140 |             |      |    |
Ar II     |              0.2770438     |       0.5 |             |      |    |
Th II     |              0.277081524   |      1400 |             |      |    |
Th I      |              0.277125643   |        94 |             |      |    |
Th II     |              0.277145966   |       390 |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.277151107   |       840 |             |      |    |
Ar II     |              0.277191      |     0.5p? |             |      |    |
Th II     |              0.277200998   |       160 |             |      |    |
Th I      |              0.27721760    |         5 |             |      |    |
Ar II     |              0.2772740     |         2 |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.277301831   |        94 |             |      |    |
Th II     |              0.277395129   |       830 |             |      |    |
Th II     |              0.277406600   |       250 |             |      |    |
Ar II     |              0.2774099     |         2 |             |      |    |
Th II     |              0.277483752   |       350 |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.277501413   |       130 |             |      |    |
Th I      |              0.277523608   |       110 |             |      |    |
Th II     |              0.277546870   |       110 |             |      |    |
Th I      |              0.27754880    |       140 |             |      |    |
Th II     |              0.277780029   |       500 |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.277802100   |       110 |             |      |    |
Th II     |              0.277806075   |       240 |             |      |    |
Th II     |              0.277822637   |       120 |             |      |    |
Ar II     |              0.277824      |        0? |             |      |    |
Th II     |              0.277870444   |       610 |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.278040799   |       660 |             |      |    |
Th II     |              0.278069983   |       580 |             |      |    |
Th I      |              0.27812090    |        70 |             |      |    |
Th II     |              0.278236461   |       140 |             |      |    |
Th II     |              0.278281339   |       160 |             |      |    |
          |                            |           |             |      |    |
Th I      |              0.27828710    |       140 |             |      |    |
Th II     |              0.278304921   |       720 |             |      |    |
Th I      |              0.278317538   |       190 |             |      |    |
Th II     |              0.278339706   |       280 |             |      |    |
Th II     |              0.278348947   |       250 |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.27839302    |        76 |             |      |    |
Th II     |              0.278406010   |     430bl |             |      |    |
Th II     |              0.27844966    |        79 |             |      |    |
Th II     |              0.278497479   |       300 |             |      |    |
Th II     |              0.278554508   |       120 |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.278560827   |       130 |             |      |    |
Th II     |              0.278623939   |       320 |             |      |    |
Th II     |              0.278668248   |       270 |             |      |    |
Th II     |              0.278691195   |       800 |             |      |    |
Th II     |              0.278712806   |       690 |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.278766649   |       380 |             |      |    |
Th I      |              0.278786224   |       140 |             |      |    |
Th II     |              0.278868475   |       250 |             |      |    |
Th II     |              0.279042118   |       330 |             |      |    |
Th II     |              0.279101251   |       300 |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.279142939   |       180 |             |      |    |
Th I      |              0.279149589   |       160 |             |      |    |
Th II     |              0.27916774    |        86 |             |      |    |
Th I      |              0.27919990    |        71 |             |      |    |
Th II     |              0.279204922   |        97 |             |      |    |
          |                            |           |             |      |    |
Th I      |              0.27924330    |        21 |             |      |    |
Th II     |              0.279356891   |       110 |             |      |    |
Th II     |              0.279401959   |       110 |             |      |    |
Th II     |              0.279425504   |       640 |             |      |    |
Ar II     |              0.2795289     |      2bl? |             |      |    |
          |                            |           |             |      |    |
Th I      |              0.27953680    |       140 |             |      |    |
Ar II     |              0.27954285    |        19 |             |      |    |
Th II     |              0.279702262   |       330 |             |      |    |
Th II     |              0.279773624   |       460 |             |      |    |
Th II     |              0.279826568   |     480bl |             |      |    |
          |                            |           |             |      |    |
Th I      |              0.27984210    |       110 |             |      |    |
Th II     |              0.279850483   |       110 |             |      |    |
Th II     |              0.279911386   |       410 |             |      |    |
Th I      |              0.27994320    |       140 |             |      |    |
Th II     |              0.280024961   |       130 |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.280056900   |       390 |             |      |    |
Ar II     |              0.2800919     |         1 |             |      |    |
Th I      |              0.280195572   |       120 |             |      |    |
Th II     |              0.280227705   |       170 |             |      |    |
Th II     |              0.280337748   |      170* |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.280337748   |      170* |             |      |    |
Th II     |              0.280420831   |       170 |             |      |    |
Th I      |              0.280490914   |       140 |             |      |    |
Th I      |              0.28052280    |         5 |             |      |    |
Ar II     |              0.2805990     |         1 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.28061670    |        58 |             |      |    |
Th II     |              0.280704769   |       130 |             |      |    |
Th II     |              0.280771421   |       370 |             |      |    |
Th II     |              0.280782691   |       750 |             |      |    |
Th I      |              0.28083230    |        83 |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.280886335   |       160 |             |      |    |
Th II     |              0.280889279   |       140 |             |      |    |
Th II     |              0.280897640   |       580 |             |      |    |
Th II     |              0.280899877   |       520 |             |      |    |
Th I      |              0.28100021    |       140 |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.28114134    |        87 |             |      |    |
Th II     |              0.281228043   |       120 |             |      |    |
Th I      |              0.28123950    |        11 |             |      |    |
Th II     |              0.281242562   |       100 |             |      |    |
Th I      |              0.28134340    |       140 |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.281431890   |       390 |             |      |    |
Th II     |              0.281446939   |       150 |             |      |    |
Th II     |              0.281457539   |       560 |             |      |    |
Th II     |              0.281607000   |       240 |             |      |    |
Th II     |              0.28169276    |        88 |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.281713492   |       120 |             |      |    |
Th I      |              0.28171800    |         7 |             |      |    |
Th I      |              0.28189710    |        21 |             |      |    |
Th I      |              0.281908560   |       170 |             |      |    |
Th II     |              0.281932269   |       450 |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.282033494   |       260 |             |      |    |
Th I      |              0.282107004   |        95 |             |      |    |
Th II     |              0.282160441   |       250 |             |      |    |
Th II     |              0.282202488   |       620 |             |      |    |
Th II     |              0.282218051   |       210 |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.28222748    |        77 |             |      |    |
Th II     |              0.282235755   |       160 |             |      |    |
Th II     |              0.282240592   |       120 |             |      |    |
Th II     |              0.282255881   |       310 |             |      |    |
Th II     |              0.282268732   |       140 |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.282313258   |       250 |             |      |    |
Th II     |              0.282355476   |       120 |             |      |    |
Th II     |              0.282537662   |       190 |             |      |    |
Th II     |              0.282594400   |       160 |             |      |    |
Th II     |              0.282685488   |       840 |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.282728154   |       140 |             |      |    |
Th II     |              0.282775527   |       330 |             |      |    |
Th II     |              0.282798913   |       290 |             |      |    |
Th I      |              0.282820735   |       230 |             |      |    |
Ar II     |              0.282827      |        0? |             |      |    |
          |                            |           |             |      |    |
Th I      |              0.28285021    |      2900 |             |      |    |
Th I      |              0.282934376   |        97 |             |      |    |
Th II     |              0.282943409   |       120 |             |      |    |
Th I      |              0.282973401   |       250 |             |      |    |
Th II     |              0.282993265   |       260 |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.283044162   |       390 |             |      |    |
Ar II     |              0.2830834     |       0.5 |             |      |    |
Th I      |              0.28311461    |        29 |             |      |    |
Th II     |              0.283120860   |       130 |             |      |    |
Th II     |              0.283201091   |       140 |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.283231527   |      4800 |             |      |    |
Th I      |              0.28325645    |        82 |             |      |    |
Th II     |              0.283333353   |       350 |             |      |    |
Th II     |              0.283353306   |       160 |             |      |    |
Th II     |              0.283448209   |       620 |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.283453139   |       300 |             |      |    |
Th II     |              0.283477755   |       130 |             |      |    |
Th II     |              0.283604697   |       860 |             |      |    |
Th II     |              0.283620554   |       120 |             |      |    |
Th II     |              0.283638910   |       150 |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.283643633   |       220 |             |      |    |
Th I      |              0.28367830    |         4 |             |      |    |
Th II     |              0.283720153   |       110 |             |      |    |
Th II     |              0.283725540   |       120 |             |      |    |
Th II     |              0.283729533   |      7400 |             |      |    |
          |                            |           |             |      |    |
Th I      |              0.283848227   |       220 |             |      |    |
Th II     |              0.283924148   |       370 |             |      |    |
Th II     |              0.283933664   |       180 |             |      |    |
Th II     |              0.283960666   |       280 |             |      |    |
Th II     |              0.284015613   |     520bl |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.284116353   |       550 |             |      |    |
Th I      |              0.28413830    |       220 |             |      |    |
Th II     |              0.284181212   |       140 |             |      |    |
Th II     |              0.284267526   |       220 |             |      |    |
Th I      |              0.28427450    |        79 |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.284281264   |      1700 |             |      |    |
Th II     |              0.284305775   |       120 |             |      |    |
Th II     |              0.284330528   |       110 |             |      |    |
Ar II     |              0.28433726    |         9 |             |      |    |
Th I      |              0.284390652   |       100 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.2844129     |         4 | 2.e+05      | C    |    |
Th II     |              0.284518663   |       210 |             |      |    |
Th II     |              0.284583335   |       300 |             |      |    |
Th I      |              0.284603650   |        94 |             |      |    |
Th II     |              0.284653137   |       240 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.2847146     |         2 |             |      |    |
Th II     |              0.284735438   |       590 |             |      |    |
Ar II     |              0.2847816     |         3 | 3.e+05      | C    |    |
Th II     |              0.284788966   |       140 |             |      |    |
Th II     |              0.284801244   |       360 |             |      |    |
          |                            |           |             |      |    |
Th I      |              0.284808383   |       170 |             |      |    |
Th II     |              0.28491690    |        82 |             |      |    |
Th I      |              0.28493260    |       150 |             |      |    |
Th I      |              0.28497250    |        15 |             |      |    |
Th II     |              0.285111882   |       150 |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.285125897   |      2100 |             |      |    |
Th II     |              0.285144276   |       500 |             |      |    |
Th I      |              0.285155694   |       140 |             |      |    |
Th II     |              0.285250031   |       370 |             |      |    |
Th II     |              0.285298154   |       110 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.285316      |         0 |             |      |    |
Th II     |              0.285413263   |       500 |             |      |    |
Th I      |              0.28543416    |        87 |             |      |    |
Th II     |              0.285491717   |       280 |             |      |    |
Th II     |              0.28558671    |        79 |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.285590393   |       310 |             |      |    |
Th I      |              0.28571368    |        87 |             |      |    |
Th II     |              0.28572620    |        30 |             |      |    |
Ar II     |              0.2857278     |      0.5* |             |      |    |
Ar II     |              0.2857278     |      0.5* |             |      |    |
          |                            |           |             |      |    |
Th I      |              0.28573361    |        15 |             |      |    |
Th II     |              0.28573981    |       120 |             |      |    |
Th II     |              0.285749075   |       290 |             |      |    |
Th II     |              0.28575990    |        30 |             |      |    |
Th II     |              0.28589150    |       230 |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.28596911    |        14 |             |      |    |
Th I      |              0.286049036   |       130 |             |      |    |
Ar II     |              0.2860742     |         3 |             |      |    |
Th I      |              0.28607761    |       150 |             |      |    |
Th II     |              0.286127046   |       160 |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.286132957   |       680 |             |      |    |
Th II     |              0.28613908    |        81 |             |      |    |
Th II     |              0.286141462   |       860 |             |      |    |
Th II     |              0.28614420    |       120 |             |      |    |
Th II     |              0.286200681   |       220 |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.286252694   |       210 |             |      |    |
Th II     |              0.28626100    |      4400 |             |      |    |
Th II     |              0.28626460    |        43 |             |      |    |
Th II     |              0.28627320    |        14 |             |      |    |
Th II     |              0.28630691    |        14 |             |      |    |
          |                            |           |             |      |    |
Th I      |              0.28635100    |        15 |             |      |    |
Th II     |              0.286465642   |       850 |             |      |    |
Th II     |              0.28649800    |        28 |             |      |    |
Th II     |              0.286524320   |       110 |             |      |    |
Ar II     |              0.28658432    |        20 |             |      |    |
          |                            |           |             |      |    |
Th I      |              0.28662410    |        60 |             |      |    |
Th II     |              0.286640660   |       190 |             |      |    |
Th II     |              0.286665124   |       300 |             |      |    |
Th II     |              0.28670273    |        70 |             |      |    |
Th II     |              0.28670670    |       140 |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.28671201    |        69 |             |      |    |
Th I      |              0.28671410    |        60 |             |      |    |
Th II     |              0.28679201    |        69 |             |      |    |
Th II     |              0.286841655   |       100 |             |      |    |
Th I      |              0.286846050   |       370 |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.286868097   |       210 |             |      |    |
Ar II     |              0.2869283     |         1 |             |      |    |
Th I      |              0.28693740    |         7 |             |      |    |
Th II     |              0.28695280    |        26 |             |      |    |
Th I      |              0.28695891    |         3 |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.286991513   |       470 |             |      |    |
Th II     |              0.287004952   |       130 |             |      |    |
Th II     |              0.287028471   |       110 |             |      |    |
Th II     |              0.287040648   |      3400 |             |      |    |
Th II     |              0.287082254   |       330 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.2871022     |         1 |             |      |    |
Th II     |              0.28711050    |        64 |             |      |    |
Ar II     |              0.2871399     |         1 |             |      |    |
Th II     |              0.28717541    |        38 |             |      |    |
Th II     |              0.28722671    |        25 |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.28724410    |        25 |             |      |    |
Th II     |              0.28731680    |        24 |             |      |    |
Th II     |              0.287371531   |        97 |             |      |    |
Th I      |              0.28737341    |       110 |             |      |    |
Ar II     |              0.28745820    |         7 |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.287462506   |        96 |             |      |    |
Th II     |              0.28747530    |        23 |             |      |    |
Th II     |              0.287491470   |       430 |             |      |    |
Th II     |              0.287564164   |       640 |             |      |    |
Th II     |              0.287641769   |       340 |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.28766580    |        34 |             |      |    |
Ar II     |              0.2876889     |       0.5 |             |      |    |
Th II     |              0.28773871    |        91 |             |      |    |
Th I      |              0.28779741    |         7 |             |      |    |
Th II     |              0.28786437    |        78 |             |      |    |
          |                            |           |             |      |    |
Th I      |              0.287865564   |        96 |             |      |    |
Th II     |              0.287918187   |        97 |             |      |    |
Th II     |              0.287920558   |       120 |             |      |    |
Th II     |              0.287953210   |      170* |             |      |    |
Th II     |              0.287953210   |      170* |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.28799580    |        22 |             |      |    |
Th II     |              0.28803130    |        11 |             |      |    |
Th I      |              0.288063246   |       140 |             |      |    |
Th II     |              0.288113832   |       250 |             |      |    |
Th II     |              0.288200931   |       560 |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.28821910    |        10 |             |      |    |
Th II     |              0.28823540    |        87 |             |      |    |
Th II     |              0.28824031    |        10 |             |      |    |
Th II     |              0.288251185   |       180 |             |      |    |
Th II     |              0.28829591    |        21 |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.28831840    |        21 |             |      |    |
Th II     |              0.28834460    |        54 |             |      |    |
Th II     |              0.288361930   |       150 |             |      |    |
Th I      |              0.28837130    |        90 |             |      |    |
Th II     |              0.288428959   |      2000 |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.288504903   |      2600 |             |      |    |
Th I      |              0.28851690    |       110 |             |      |    |
Th II     |              0.28859698    |        86 |             |      |    |
Th II     |              0.288624283   |       210 |             |      |    |
Th II     |              0.288650604   |       330 |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.28867851    |        19 |             |      |    |
Th II     |              0.288781750   |      1700 |             |      |    |
Th II     |              0.28880448    |        96 |             |      |    |
Th II     |              0.28889040    |        46 |             |      |    |
Th II     |              0.28891810    |       920 |             |      |    |
          |                            |           |             |      |    |
Th I      |              0.28891817    |       170 |             |      |    |
Th I      |              0.28892911    |       150 |             |      |    |
Th II     |              0.28895641    |         9 |             |      |    |
Th I      |              0.28900776    |        90 |             |      |    |
Th II     |              0.28901881    |        45 |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.28903161    |         9 |             |      |    |
Th II     |              0.28904800    |        45 |             |      |    |
Th II     |              0.28905890    |        27 |             |      |    |
Th I      |              0.28907460    |        62 |             |      |    |
Th II     |              0.28908880    |        72 |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.28911286    |        79 |             |      |    |
Th II     |              0.289124930   |      1000 |             |      |    |
Ar II     |              0.28916123    |       234 | 1.82e+07    | B    |    |
Th II     |              0.289173000   |       540 |             |      |    |
Th II     |              0.289181640   |       610 |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.289217155   |       240 |             |      |    |
Th II     |              0.28928151    |         8 |             |      |    |
Th II     |              0.28930696    |       140 |             |      |    |
Th II     |              0.28931571    |        25 |             |      |    |
Th II     |              0.28937471    |        16 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.2893985     |         1 |             |      |    |
Th II     |              0.28944445    |        88 |             |      |    |
Th II     |              0.28944995    |        91 |             |      |    |
Th II     |              0.289498628   |       230 |             |      |    |
Th II     |              0.289513520   |       820 |             |      |    |
          |                            |           |             |      |    |
Th I      |              0.28952710    |        99 |             |      |    |
Th II     |              0.28953700    |         7 |             |      |    |
Th II     |              0.28957499    |        73 |             |      |    |
Th II     |              0.28959131    |        15 |             |      |    |
Th II     |              0.28963150    |        30 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.2896564     |         2 |             |      |    |
Ar II     |              0.28967465    |        33 |             |      |    |
Th II     |              0.289706841   |       700 |             |      |    |
Th II     |              0.28971134    |       120 |             |      |    |
Ar II     |              0.2897332     |         6 |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.28974931    |        22 |             |      |    |
Th II     |              0.28982023    |        78 |             |      |    |
Th II     |              0.28982622    |       130 |             |      |    |
Th I      |              0.28984430    |        12 |             |      |    |
Th I      |              0.28985532    |        82 |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.28987290    |         7 |             |      |    |
Th II     |              0.289936923   |       460 |             |      |    |
Th II     |              0.289972044   |      1700 |             |      |    |
Th II     |              0.29003671    |        37 |             |      |    |
Th II     |              0.29007721    |        29 |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.29013781    |        22 |             |      |    |
Th II     |              0.29021441    |        15 |             |      |    |
Th I      |              0.29027141    |       470 |             |      |    |
Th II     |              0.290305140   |       440 |             |      |    |
Th II     |              0.290316646   |       230 |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.29035628    |       130 |             |      |    |
Th II     |              0.29042673    |       140 |             |      |    |
Th II     |              0.29044290    |        37 |             |      |    |
Th II     |              0.29047025    |        81 |             |      |    |
Th II     |              0.290499975   |       190 |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.29053030    |        30 |             |      |    |
Th II     |              0.29057443    |       110 |             |      |    |
Th II     |              0.290592087   |       210 |             |      |    |
Th II     |              0.29059329    |       150 |             |      |    |
Th II     |              0.29061222    |       120 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.290704      |         0 |             |      |    |
Th II     |              0.29077821    |        77 |             |      |    |
Th II     |              0.29081560    |        59 |             |      |    |
Th II     |              0.290831297   |       230 |             |      |    |
Th II     |              0.290835869   |       460 |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.29083831    |        74 |             |      |    |
Th II     |              0.29084360    |        14 |             |      |    |
Th I      |              0.290850756   |       350 |             |      |    |
Th II     |              0.29086725    |        76 |             |      |    |
Th II     |              0.29089818    |        92 |             |      |    |
          |                            |           |             |      |    |
Th I      |              0.29090808    |        79 |             |      |    |
Th I      |              0.29091069    |       130 |             |      |    |
Th II     |              0.29093030    |       150 |             |      |    |
Th II     |              0.29093781    |        60 |             |      |    |
Th II     |              0.29094545    |       110 |             |      |    |
          |                            |           |             |      |    |
Th II     |              0.29097674    |       120 |             |      |    |
