------------------------------------------------------------------------------
Spectrum  |                  Observed  |      Rel. |     Aki     | Acc. |Type|
          |                 Wavelength |      Int. |   (s^-1)    |      |    |
          |          Vac (µm)          |      (?)  |             |      |    |
------------------------------------------------------------------------------
Ar I      |              0.0879947     |      180r | 7.7e+07     | C    |    |
Ar I      |              0.0894310     |       150 |             |      |    |
Ar II     |              0.09197810    |        10 | 1.4e+08     | C    |    |
Ar II     |              0.09320538    |        10 | 6.7e+07     | C    |    |
          |                            |           |             |      |    |
Ar I      |              0.1048220     |     1000r | 5.1e+08     | C+   |    |
Ar I      |              0.1066660     |      500r | 1.19e+08    | C+   |    |
Ar II     |              0.1268483     |         1 |             |      |    |
Ar II     |              0.1280225     |         1 |             |      |    |
Ar II     |              0.1282620     |         1 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.1284793     |         1 |             |      |    |
Ar II     |              0.1348745     |         1 |             |      |    |
Ar II     |              0.1351330     |         1 |             |      |    |
Ar II     |              0.1354912     |         2 |             |      |    |
Ar II     |              0.1357435     |         0 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.1360735     |         1 |             |      |    |
Ar II     |              0.1363031     |         2 |             |      |    |
Ar II     |              0.1376107     |       0.5 |             |      |    |
Ar II     |              0.1376956     |         1 |             |      |    |
Ar II     |              0.1377211     |         4 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.1377442     |         0 |             |      |    |
Ar II     |              0.1379377     |         1 |             |      |    |
Ar II     |              0.1379884     |         3 |             |      |    |
Ar II     |              0.1380723     |         1 |             |      |    |
Ar II     |              0.1382228     |         2 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.1382765     |         1 |             |      |    |
Ar II     |              0.1396231     |         1 |             |      |    |
Ar II     |              0.1451879     |         1 |             |      |    |
Ar II     |              0.1455484     |         1 |             |      |    |
Ar II     |              0.1459875     |         1 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.1463155     |         2 |             |      |    |
Ar II     |              0.1464176     |         1 |             |      |    |
Ar II     |              0.1465153     |         1 |             |      |    |
Ar II     |              0.1466524     |         1 |             |      |    |
Ar II     |              0.1472594     |         1 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.1474537     |         1 |             |      |    |
Ar II     |              0.1544177     |         2 |             |      |    |
Ar II     |              0.1544711     |         2 |             |      |    |
Ar II     |              0.1547354     |         1 |             |      |    |
Ar II     |              0.1557302     |         1 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.1559072     |         3 |             |      |    |
Ar II     |              0.1560184     |         4 |             |      |    |
Ar II     |              0.1562441     |         2 |             |      |    |
Ar II     |              0.1563036     |         1 |             |      |    |
Ar II     |              0.1565377     |        1* |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.1565377     |        1* |             |      |    |
Ar II     |              0.1566812     |         1 |             |      |    |
Ar II     |              0.1567987     |         4 |             |      |    |
Ar II     |              0.1571390     |         1 |             |      |    |
Ar II     |              0.1574402     |         1 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.1574992     |         6 |             |      |    |
Ar II     |              0.1575815     |         3 |             |      |    |
Ar II     |              0.1576897     |         3 |             |      |    |
Ar II     |              0.1578812     |         3 |             |      |    |
Ar II     |              0.1580768     |         2 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.1580960     |         1 |             |      |    |
Ar II     |              0.158383      |         1 |             |      |    |
Ar II     |              0.1586256     |         2 |             |      |    |
Ar II     |              0.1589463     |         5 |             |      |    |
Ar II     |              0.1590229     |         2 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.1591933     |         1 |             |      |    |
Ar II     |              0.1593581     |         2 |             |      |    |
Ar II     |              0.1594787     |         1 |             |      |    |
Ar II     |              0.1595734     |        1* |             |      |    |
Ar II     |              0.1595734     |        1* |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.1596141     |        1* |             |      |    |
Ar II     |              0.1596141     |        1* |             |      |    |
Ar II     |              0.1598561     |         1 |             |      |    |
Ar II     |              0.1598724     |         2 |             |      |    |
Ar II     |              0.1598872     |         1 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.1599125     |         1 |             |      |    |
Ar II     |              0.1599597     |         1 |             |      |    |
Ar II     |              0.1600133     |         4 |             |      |    |
Ar II     |              0.1600694     |         6 |             |      |    |
Ar II     |              0.1602554     |        2* |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.1602554     |        2* |             |      |    |
Ar II     |              0.1602893     |         2 |             |      |    |
Ar II     |              0.1603074     |         4 |             |      |    |
Ar II     |              0.1603443     |         4 |             |      |    |
Ar II     |              0.1604083     |         5 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.1606197     |         3 |             |      |    |
Ar II     |              0.1606927     |         4 |             |      |    |
Ar II     |              0.1607168     |         1 |             |      |    |
Ar II     |              0.1615807     |       0.5 |             |      |    |
Ar II     |              0.1616972     |         1 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.1627085     |         0 |             |      |    |
Ar II     |              0.1628825     |       1bl |             |      |    |
Ar II     |              0.1629834     |       1bl |             |      |    |
Ar II     |              0.1640335     |         1 |             |      |    |
Ar II     |              0.1649299     |         1 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.1650531     |         1 |             |      |    |
Ar II     |              0.1653322     |         1 |             |      |    |
Ar II     |              0.1655459     |       0.5 |             |      |    |
Ar II     |              0.1662253     |         1 |             |      |    |
Ar II     |              0.1686076     |       0.5 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.1689470     |       0.5 |             |      |    |
Ar II     |              0.1701358     |         1 |             |      |    |
Ar II     |              0.1702186     |         1 |             |      |    |
Ar II     |              0.1705977     |         1 |             |      |    |
Ar II     |              0.1710909     |      0.5* |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.1710909     |      0.5* |             |      |    |
Ar II     |              0.1713215     |         2 |             |      |    |
Ar II     |              0.1718680     |         1 |             |      |    |
Ar II     |              0.1719346     |         2 |             |      |    |
Ar II     |              0.1725138     |         1 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.1725549     |       0.5 |             |      |    |
Ar II     |              0.1729075     |         1 |             |      |    |
Ar II     |              0.1729262     |         1 |             |      |    |
Ar II     |              0.1733362     |         1 |             |      |    |
Ar II     |              0.1735378     |       0.5 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.1736830     |         1 |             |      |    |
Ar II     |              0.1749003     |      0.5p |             |      |    |
Ar II     |              0.1750694     |       0.5 |             |      |    |
Ar II     |              0.1751679     |         2 |             |      |    |
Ar II     |              0.1755810     |       1bl |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.1763669     |       0.5 |             |      |    |
Ar II     |              0.1765454     |       0.5 |             |      |    |
Ar II     |              0.1768042     |         1 |             |      |    |
Ar II     |              0.1770652     |         1 |             |      |    |
Ar II     |              0.1771829     |         2 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.1776670     |         1 |             |      |    |
Ar II     |              0.1782587     |         1 |             |      |    |
Ar II     |              0.1785669     |         1 |             |      |    |
Ar II     |              0.1788101     |         3 |             |      |    |
Ar II     |              0.1791561     |         1 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.1793435     |       0.5 |             |      |    |
Ar II     |              0.1812475     |     0.5bl |             |      |    |
Ar II     |              0.1813009     |         1 |             |      |    |
Ar II     |              0.1813772     |         1 |             |      |    |
Ar II     |              0.181614      |       0.5 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.1823207     |         1 |             |      |    |
Ar II     |              0.1824842     |       0.5 |             |      |    |
Ar II     |              0.18307697    |         8 |             |      |    |
Ar II     |              0.1831525     |         5 |             |      |    |
Ar II     |              0.1834039     |         2 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.1854986     |       0.5 |             |      |    |
Ar II     |              0.1862856     |         1 |             |      |    |
Ar II     |              0.1866093     |         1 |             |      |    |
Ar II     |              0.18686601    |         6 |             |      |    |
Ar II     |              0.1872582     |         1 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.18731396    |        21 |             |      |    |
Ar II     |              0.18775230    |        20 |             |      |    |
Ar II     |              0.18794193    |         3 |             |      |    |
Ar II     |              0.1879788     |         2 |             |      |    |
Ar II     |              0.18863858    |        29 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.18887826    |        22 |             |      |    |
Ar II     |              0.18890261    |        44 |             |      |    |
Ar II     |              0.1897365     |      0.5* |             |      |    |
Ar II     |              0.1897365     |      0.5* |             |      |    |
Ar II     |              0.18983875    |         9 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.1899271     |         1 |             |      |    |
Ar II     |              0.1899834     |         1 |             |      |    |
Ar II     |              0.19006361    |         7 |             |      |    |
Ar II     |              0.19079864    |        20 |             |      |    |
Ar II     |              0.19095689    |       0.5 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.1911046     |       0.5 |             |      |    |
Ar II     |              0.19190082    |        12 |             |      |    |
Ar II     |              0.19191981    |        10 |             |      |    |
Ar II     |              0.19200064    |         5 |             |      |    |
Ar II     |              0.19314181    |         7 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.19322149    |         9 |             |      |    |
Ar II     |              0.19322300    |         4 |             |      |    |
Ar II     |              0.19336931    |         4 |             |      |    |
Ar II     |              0.19340939    |         8 |             |      |    |
Ar II     |              0.1937042     |         1 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.19410724    |         3 |             |      |    |
Ar II     |              0.1945111     |         1 |             |      |    |
Ar II     |              0.19467948    |        11 |             |      |    |
Ar II     |              0.19613610    |         4 |             |      |    |
Ar II     |              0.19621612    |         9 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.1966952     |         1 |             |      |    |
Ar II     |              0.19722733    |        13 |             |      |    |
Ar II     |              0.19734837    |         2 |             |      |    |
Ar II     |              0.19744622    |        17 |             |      |    |
Ar II     |              0.19767655    |        15 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.1977200     |         0 |             |      |    |
Ar II     |              0.1979988     |         1 |             |      |    |
Ar II     |              0.19813884    |        11 |             |      |    |
Ar II     |              0.198174      |         1 |             |      |    |
Ar II     |              0.1983296     |         1 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.1983831     |         1 |             |      |    |
Ar II     |              0.19886021    |         6 |             |      |    |
Ar II     |              0.19886482    |         9 |             |      |    |
Ar II     |              0.1993555     |         0 |             |      |    |
------------------------------------------------------------------------------
Spectrum  |                  Observed  |      Rel. |     Aki     | Acc. |Type|
          |                 Wavelength |      Int. |   (s^-1)    |      |    |
          |          Air (µm)          |      (?)  |             |      |    |
------------------------------------------------------------------------------
          |                            |           |             |      |    |
Ar II     |              0.19999988    |        10 |             |      |    |
Ar II     |              0.2003325     |         1 |             |      |    |
